SYMBOL,BSE_CODE,COMPANY_NAME,SECTOR,Q4_FY26_REVENUE_CR,Q4_FY26_PAT_CR,FY26_ANNUAL_REVENUE_CR,FY26_ANNUAL_PAT_CR,MARKET_CAP_CR,DATA_NOTE,FY
PRICOL,540293,Pricol Ltd,Auto Ancillaries,,,2104,126,4200,FY26 Rev ~2104Cr PAT ~126Cr; Q4 data pending full filing,FY26
RAJRATAN,517522,Rajratan Global Wire Ltd,Metals - Steel Wire,,,1950,45,2232,FY26 Rev ~1950Cr PAT ~45Cr; Q4 data from annual filings,FY26
RHIM,543287,RHI Magnesita India Ltd,Refractories,,,2800,35,7050,FY26 Rev ~2800Cr; Q4 individual data not separately available; PAT impacted by acquisitions,FY26
,517035,RIR Power Electronics Ltd,Power Semiconductors,,,100,10,260,Small cap; FY26 Rev ~100Cr PAT ~10Cr; BSE-only,FY26
SANSERA,543358,Sansera Engineering Ltd,Auto Ancillaries,999,62,3498,325,5600,Q4 FY26 Rev 999Cr +28% YoY PAT 62Cr; FY26 Rev 3498Cr PAT 325Cr +record,FY26
SHREEREF,544458,Shree Refrigerations Ltd,Capital Goods - HVAC,,,260,14,641,FY26 Rev ~260Cr PAT ~14Cr; recently listed; Q4 data pending,FY26
SUNCLAY,520056,Sundaram Clayton Ltd (TVS Holdings),Auto Ancillaries - Aluminium Castings,,,4800,380,20000,FY26 Rev ~4800Cr PAT ~380Cr (TVS Holdings consolidated); renamed TVSHLTD,FY26
TATATECH,544028,Tata Technologies Ltd,IT Services - Engineering,1572,163,5638,600,30000,Q4 FY26 Rev 1572Cr +15% QoQ PAT 163Cr +20% QoQ; FY26 Rev 5638Cr,FY26
VENUSPIPES,543528,Venus Pipes & Tubes Ltd,Metals - SS Pipes,302,26,1167,95,2317,Q4 FY26 Rev 302Cr +17% YoY PAT 26Cr +23% YoY; FY26 Rev 1167Cr +22% YoY record,FY26
VINCOFE,538920,Vintage Coffee and Beverages Ltd,FMCG - Coffee,,,309,50,1530,FY26 Rev ~309Cr PAT ~50Cr; NSE: VINCOFE BSE: 538920,FY26
AARTIIND,524208,Aarti Industries Ltd,Specialty Chemicals,,,9018,419,18500,FY26 Rev 9018Cr +12% YoY PAT 419Cr +27% YoY; Q4 data within annual,FY26
BECTORFOOD,543253,Mrs Bectors Food Specialities Ltd,FMCG - Biscuits & Bakery,486,35,2044,140,3900,Q4 FY26 Rev 486Cr +8.9% YoY PAT 35Cr +3.5% YoY; FY26 milestone 2044Cr +9% YoY,FY26
DYNAMICCABLES,543683,Dynamic Cables Ltd,Cables & Wires,,,900,50,1800,FY26 Rev ~900Cr PAT ~50Cr; Q4 data from FY26 annual filings,FY26
E2ENETWORKS,542066,E2E Networks Ltd,Cloud Computing - AI Infrastructure,,,145,35,4200,Q4 FY26 PAT 8.56Cr (-51% YoY due to GPU capex); FY26 Rev ~145Cr; high-growth phase,FY26
ELECON,505700,Elecon Engineering Company Ltd,Capital Goods - Gears & Material Handling,,,2200,220,8500,FY26 Rev ~2200Cr PAT ~220Cr; strong order book; Q4 data from annual,FY26
,522017,Fluidomat Ltd,Capital Goods - Fluid Couplings,,,58,10,359,FY26 Rev ~58Cr PAT ~10Cr; BSE-only small cap,FY26
JASH,530027,Jash Engineering Ltd,Capital Goods - Water Control Equipment,735,88,735,88,2600,FY Dec year-end; FY25 (Apr24-Mar25) Rev 735Cr PAT 88Cr; Q4 CY25 (Oct-Dec 25) Rev 181Cr PAT 35Cr,FY25
JUBLFOOD,533155,Jubilant FoodWorks Ltd,QSR - Food Services,,,6600,824,15000,Q4 FY26 PAT 824Cr +66% YoY; Revenue +19% YoY; FY26 strong recovery,FY26
JUBLINGREA,543278,Jubilant Ingrevia Ltd,Specialty Chemicals,1179,86,4388,278,11111,Q4 FY26 Rev 1179Cr +12% YoY PAT 86Cr +17% YoY (14-qtr high revenue); FY26 Rev 4388Cr,FY26
JUPITERWAG,542564,Jupiter Wagons Ltd,Capital Goods - Railway Wagons,790,27,2961,166,8500,Q4 FY26 Rev 790Cr PAT 27Cr; FY26 Rev 2961Cr PAT 166Cr PAT margin 6%,FY26
KAYNES,543289,Kaynes Technology India Ltd,EMS - Electronics Manufacturing,1243,91,3626,364,16000,Q4 FY26 Rev 1243Cr +26% YoY PAT 91Cr -21% YoY (margin pressure); FY26 Rev 3626Cr +33% YoY,FY26
LXCHEM,542180,Laxmi Organic Industries Ltd,Specialty Chemicals,735,22,2847,79,2600,Q4 FY26 Rev 735Cr +4% YoY PAT 22Cr; FY26 Rev 2847Cr -5% YoY PAT 79Cr -30% YoY,FY26
NDRAUTO,543214,NDR Auto Components Ltd,Auto Ancillaries,230,12,830,56,1560,Q4 FY26 Total Income 230Cr +19% YoY EBITDA 27Cr +25% YoY; FY26 Rev ~830Cr,FY26
PARAGMILK,539889,Parag Milk Foods Ltd,Dairy Products,,,3818,120,1800,FY26 Rev 3818Cr double-digit growth 5% vol growth; PAT ~120Cr; Q4 data within annual,FY26
PROSTARM,544410,Prostarm Info Systems Ltd,Power Solutions - UPS & Solar,165,14,580,45,922,Q4 FY26 Rev ~165Cr PAT ~14Cr (per analyst estimates ~160-172Cr range); FY26 Rev 580Cr,FY26
PROTEAN,544021,Protean eGov Technologies Ltd,IT - Digital Public Infrastructure,308,31,998,105,3800,Q4 FY26 Rev 308Cr +38% YoY PAT 31Cr +53% YoY (record); FY26 Rev 998Cr +19% YoY,FY26
SEDEMAC,543769,SEDEMAC Mechatronics Ltd,Auto Ancillaries - Control Electronics,,,580,90,10245,FY26 Rev ~580Cr PAT ~90Cr (est based on screener Mkt cap 10245Cr); Q4 data pending,FY26
SIGMAADV,532408,Sigma Advanced Systems Ltd,IT Services,,,120,15,800,FY26 Rev ~120Cr PAT ~15Cr; small cap; Q4 data not separately available,FY26
TDPOWERSYS,533397,TD Power Systems Ltd,Capital Goods - AC Generators,,,900,90,3800,FY26 Rev ~900Cr PAT ~90Cr; strong export order momentum; Q4 data pending formal filing,FY26
TRANSRAILL,544317,Transrail Lighting Ltd,Power T&D - EPC,1863,97,6880,421,6554,Q4 FY26 Rev 1863Cr -4% YoY PAT 97Cr -24% YoY (soft Q4); FY26 Rev 6880Cr +30% YoY record,FY26
TRIVENI,533655,Triveni Turbine Ltd,Capital Goods - Steam Turbines,680,102,2181,349,18000,Q4 FY26 Rev 680Cr +26% YoY PAT 102Cr +7.7% YoY; FY26 Rev 2181Cr +9% YoY (record),FY26
